Event Name,TEMP ID,TEMP Validation Time,Status,Total Validado,TEMP Usuarios de Validadores
 AURA 9-08,6297,"sábado, enero 1, 2000, 01:00",No Ingresado,20,
 AURA 9-08,6297,"sábado, agosto 9, 2025, 18:00",Validado,2,
 AURA 9-08,6297,"sábado, agosto 9, 2025, 19:00",Validado,15,
 AURA 9-08,6297,"sábado, agosto 9, 2025, 20:00",Validado,30,
 AURA 9-08,6297,"sábado, agosto 9, 2025, 21:00",Validado,193,
 AURA 9-08,6297,"sábado, agosto 9, 2025, 22:00",Validado,180,
 AURA 9-08,6297,"sábado, agosto 9, 2025, 23:00",Validado,14,
 AURA 9-08,6297,"martes, agosto 12, 2025, 19:00",Validado,1,
 AURA 9-08,6297,"viernes, septiembre 12, 2025, 11:00",Validado,1,
🔥 FRACTAL AFTER OFFICE  + MINAU RADIO 🔥,6441,"sábado, enero 1, 2000, 01:00",No Ingresado,23,
🔥 FRACTAL AFTER OFFICE  + MINAU RADIO 🔥,6441,"viernes, agosto 8, 2025, 22:00",Validado,2,
🔥 FRACTAL AFTER OFFICE  + MINAU RADIO 🔥,6441,"viernes, agosto 8, 2025, 23:00",Validado,8,
🔥 FRACTAL AFTER OFFICE  + MINAU RADIO 🔥,6441,"sábado, agosto 9, 2025, 00:00",Validado,4,
09.08 | ANIVERSARIO ANANÁ | Doble pista en Fruta ,6360,"sábado, enero 1, 2000, 01:00",No Ingresado,36,
09.08 | ANIVERSARIO ANANÁ | Doble pista en Fruta ,6360,"sábado, agosto 9, 2025, 22:00",Validado,41,
09.08 | ANIVERSARIO ANANÁ | Doble pista en Fruta ,6360,"sábado, agosto 9, 2025, 23:00",Validado,83,
09.08 | ANIVERSARIO ANANÁ | Doble pista en Fruta ,6360,"domingo, agosto 10, 2025, 00:00",Validado,32,
09.08 | ANIVERSARIO ANANÁ | Doble pista en Fruta ,6360,"domingo, agosto 10, 2025, 01:00",Validado,97,
09.08 | ANIVERSARIO ANANÁ | Doble pista en Fruta ,6360,"domingo, agosto 10, 2025, 02:00",Validado,164,
09.08 | ANIVERSARIO ANANÁ | Doble pista en Fruta ,6360,"domingo, agosto 10, 2025, 03:00",Validado,39,
09.08 | KABI (AR) PISTA B ,6398,"sábado, enero 1, 2000, 01:00",No Ingresado,53,
09.08 | KABI (AR) PISTA B ,6398,"domingo, agosto 10, 2025, 01:00",Validado,11,
09.08 | KABI (AR) PISTA B ,6398,"domingo, agosto 10, 2025, 02:00",Validado,12,
09.08 | KABI (AR) PISTA B ,6398,"domingo, agosto 10, 2025, 03:00",Validado,7,
"19H - ""GOTTEN"" por ORKGOTIK",6375,"sábado, enero 1, 2000, 01:00",No Ingresado,3,
"19H - ""GOTTEN"" por ORKGOTIK",6375,"martes, agosto 5, 2025, 19:00",Validado,27,
"20H - ""GOTTEN"" por ORKGOTIK",6376,"sábado, enero 1, 2000, 01:00",No Ingresado,2,
"20H - ""GOTTEN"" por ORKGOTIK",6376,"martes, agosto 5, 2025, 20:00",Validado,23,
"21 H -  ""GOTTEN"" por ORKGOTIK",6378,"sábado, enero 1, 2000, 01:00",No Ingresado,1,
"21 H -  ""GOTTEN"" por ORKGOTIK",6378,"martes, agosto 5, 2025, 21:00",Validado,29,
"2GTHR Pres: MATÍAS SUNDBLAD @ Morocco, Viernes 08.08",6198,"sábado, enero 1, 2000, 01:00",No Ingresado,"5,352",
"2GTHR Pres: MATÍAS SUNDBLAD @ Morocco, Viernes 08.08",6198,"sábado, agosto 9, 2025, 00:00",Validado,192,
"2GTHR Pres: MATÍAS SUNDBLAD @ Morocco, Viernes 08.08",6198,"sábado, agosto 9, 2025, 01:00",Validado,419,
"2GTHR Pres: MATÍAS SUNDBLAD @ Morocco, Viernes 08.08",6198,"sábado, agosto 9, 2025, 02:00",Validado,36,
"2GTHR Pres: MATÍAS SUNDBLAD @ Morocco, Viernes 08.08",6198,"lunes, septiembre 1, 2025, 18:00",Validado,1,
"2GTHR Pres: MATÍAS SUNDBLAD @ Morocco, Viernes 08.08",6198,"martes, septiembre 16, 2025, 12:00",Validado,1,
4SIDE CLUB SESSION | 9.08,5953,"sábado, enero 1, 2000, 01:00",No Ingresado,277,
4SIDE CLUB SESSION | 9.08,5953,"domingo, agosto 10, 2025, 00:00",Validado,12,
4SIDE CLUB SESSION | 9.08,5953,"domingo, agosto 10, 2025, 01:00",Validado,86,
4SIDE CLUB SESSION | 9.08,5953,"domingo, agosto 10, 2025, 02:00",Validado,33,
4SIDE CLUB SESSION | 9.08,5953,"martes, septiembre 9, 2025, 18:00",Validado,3,
4SIDE CLUB SESSION | 9.08,5953,"jueves, septiembre 11, 2025, 22:00",Validado,1,
5To fest kineo ,6156,"sábado, enero 1, 2000, 01:00",No Ingresado,455,
5To fest kineo ,6156,"domingo, agosto 10, 2025, 00:00",Validado,4,
5To fest kineo ,6156,"domingo, agosto 10, 2025, 01:00",Validado,69,
5To fest kineo ,6156,"domingo, agosto 10, 2025, 02:00",Validado,265,
5To fest kineo ,6156,"domingo, agosto 10, 2025, 03:00",Validado,29,
