Event Name,TEMP ID,TEMP Validation Time,Status,Total Validado,TEMP Usuarios de Validadores
5To fest kineo ,6156,"viernes, agosto 22, 2025, 23:00",Validado,1,
5To fest kineo ,6156,"lunes, septiembre 1, 2025, 17:00",Validado,1,
ADHILA | CZUMA | EQ LIGHT @ THE GALLERY,6410,"sábado, enero 1, 2000, 01:00",No Ingresado,1,
ADHILA | CZUMA | EQ LIGHT @ THE GALLERY,6410,"domingo, agosto 10, 2025, 07:00",Validado,17,
ADHILA | CZUMA | EQ LIGHT @ THE GALLERY,6410,"domingo, agosto 10, 2025, 08:00",Validado,8,
ADHILA | CZUMA | EQ LIGHT @ THE GALLERY,6410,"domingo, agosto 10, 2025, 10:00",Validado,3,
ADHILA | CZUMA | EQ LIGHT @ THE GALLERY,6410,"martes, septiembre 16, 2025, 14:00",Validado,1,
Bealive presenta: SARKANY WHY NOT en Costa 7070,6406,"sábado, enero 1, 2000, 01:00",No Ingresado,255,
Bealive presenta: SARKANY WHY NOT en Costa 7070,6406,"jueves, agosto 7, 2025, 22:00",Validado,2,
Bealive presenta: SARKANY WHY NOT en Costa 7070,6406,"jueves, agosto 7, 2025, 23:00",Validado,39,
Bealive presenta: SARKANY WHY NOT en Costa 7070,6406,"viernes, agosto 8, 2025, 00:00",Validado,45,
Bealive presenta: SARKANY WHY NOT en Costa 7070,6406,"viernes, agosto 8, 2025, 01:00",Validado,2,
Bealive presenta: SARKANY WHY NOT en Costa 7070,6406,"miércoles, agosto 13, 2025, 00:00",Validado,2,
BLACK CREAM DOMINGO DJ SET DON OMAR ,6405,"sábado, enero 1, 2000, 01:00",No Ingresado,710,
BLACK CREAM DOMINGO DJ SET DON OMAR ,6405,"lunes, agosto 4, 2025, 00:00",Validado,15,
BLACK CREAM DOMINGO DJ SET DON OMAR ,6405,"lunes, agosto 4, 2025, 01:00",Validado,342,
BLACK CREAM DOMINGO DJ SET DON OMAR ,6405,"lunes, agosto 4, 2025, 02:00",Validado,88,
BLACK CREAM DOMINGO DJ SET DON OMAR ,6405,"lunes, agosto 4, 2025, 03:00",Validado,15,
BLACK CREAM DOMINGO DJ SET DON OMAR ,6405,"jueves, agosto 7, 2025, 23:00",Validado,1,
BLACK CREAM DOMINGO DJ SET DON OMAR ,6405,"viernes, agosto 15, 2025, 00:00",Validado,3,
BLACK CREAM DOMINGO DJ SET DON OMAR ,6405,"sábado, agosto 16, 2025, 09:00",Validado,1,
BLACK CREAM DOMINGO DJ SET DON OMAR ,6405,"miércoles, agosto 27, 2025, 18:00",Validado,2,
BLACK CREAM DOMINGO DJ SET DON OMAR ,6405,"jueves, septiembre 4, 2025, 11:00",Validado,1,
BLACK CREAM DOMINGO DJ SET DON OMAR ,6405,"viernes, septiembre 5, 2025, 01:00",Validado,1,
BLACK CREAM DOMINGO DJ SET DON OMAR ,6405,"sábado, septiembre 13, 2025, 06:00",Validado,1,
BLACK CREAM JUEVES REGGAETON OLD SCHOOL OG,6418,"sábado, enero 1, 2000, 01:00",No Ingresado,748,
BLACK CREAM JUEVES REGGAETON OLD SCHOOL OG,6418,"viernes, agosto 8, 2025, 00:00",Validado,34,
BLACK CREAM JUEVES REGGAETON OLD SCHOOL OG,6418,"viernes, agosto 8, 2025, 01:00",Validado,354,
BLACK CREAM JUEVES REGGAETON OLD SCHOOL OG,6418,"viernes, agosto 8, 2025, 02:00",Validado,128,
BLACK CREAM JUEVES REGGAETON OLD SCHOOL OG,6418,"viernes, agosto 8, 2025, 03:00",Validado,25,
BLACK CREAM JUEVES REGGAETON OLD SCHOOL OG,6418,"jueves, agosto 14, 2025, 12:00",Validado,1,
BLACK CREAM JUEVES REGGAETON OLD SCHOOL OG,6418,"jueves, agosto 14, 2025, 14:00",Validado,1,
BLACK CREAM JUEVES REGGAETON OLD SCHOOL OG,6418,"viernes, agosto 15, 2025, 23:00",Validado,2,
BLACK CREAM JUEVES REGGAETON OLD SCHOOL OG,6418,"sábado, agosto 16, 2025, 09:00",Validado,1,
BLACK CREAM JUEVES REGGAETON OLD SCHOOL OG,6418,"sábado, agosto 16, 2025, 10:00",Validado,1,
BLACK CREAM JUEVES REGGAETON OLD SCHOOL OG,6418,"jueves, septiembre 4, 2025, 11:00",Validado,1,
BLACK CREAM JUEVES REGGAETON OLD SCHOOL OG,6418,"viernes, septiembre 5, 2025, 01:00",Validado,1,
BLACK CREAM JUEVES REGGAETON OLD SCHOOL OG,6418,"viernes, septiembre 12, 2025, 23:00",Validado,1,
Black Jagger Club - Night 9/8,6413,"sábado, enero 1, 2000, 01:00",No Ingresado,363,
Black Jagger Club - Night 9/8,6413,"domingo, agosto 10, 2025, 00:00",Validado,16,
Black Jagger Club - Night 9/8,6413,"domingo, agosto 10, 2025, 01:00",Validado,395,
Black Jagger Club - Night 9/8,6413,"domingo, agosto 10, 2025, 02:00",Validado,123,
Black Jagger Club - Night 9/8,6413,"domingo, agosto 10, 2025, 03:00",Validado,1,
Black Jagger Club - Night 9/8,6413,"lunes, agosto 11, 2025, 22:00",Validado,1,
Black Jagger Club - Night 9/8,6413,"miércoles, agosto 13, 2025, 10:00",Validado,5,
Black Jagger Club - Night 9/8,6413,"jueves, agosto 14, 2025, 13:00",Validado,2,
Black Jagger Club - Night 9/8,6413,"jueves, agosto 14, 2025, 19:00",Validado,1,
Black Jagger Club - Night 9/8,6413,"sábado, agosto 16, 2025, 14:00",Validado,1,
Black Jagger Club - Night 9/8,6413,"miércoles, agosto 27, 2025, 06:00",Validado,1,
Black Jagger Club - Night 9/8,6413,"jueves, agosto 28, 2025, 08:00",Validado,1,
Black Jagger Club - Night 9/8,6413,"sábado, agosto 30, 2025, 00:00",Validado,2,
Black Jagger Club - Night 9/8,6413,"lunes, septiembre 1, 2025, 13:00",Validado,1,
Black Jagger Club - Night 9/8,6413,"martes, septiembre 2, 2025, 10:00",Validado,1,
Black Jagger Club - Night 9/8,6413,"martes, septiembre 2, 2025, 15:00",Validado,1,
Black Jagger Club - Night 9/8,6413,"jueves, septiembre 4, 2025, 13:00",Validado,1,
Black Jagger Club - Night 9/8,6413,"sábado, septiembre 6, 2025, 13:00",Validado,1,
Black Jagger Club - Night 9/8,6413,"jueves, septiembre 11, 2025, 21:00",Validado,1,
Black Jagger Club - Night 9/8,6413,"lunes, septiembre 15, 2025, 16:00",Validado,1,
BOSCO SUNSET VIERNES 8/08,6177,"sábado, enero 1, 2000, 01:00",No Ingresado,79,
BOSCO SUNSET VIERNES 8/08,6177,"viernes, agosto 8, 2025, 20:00",Validado,38,
BOSCO SUNSET VIERNES 8/08,6177,"viernes, agosto 8, 2025, 21:00",Validado,63,
BOSCO SUNSET VIERNES 8/08,6177,"viernes, agosto 8, 2025, 22:00",Validado,197,
BOSCO SUNSET VIERNES 8/08,6177,"viernes, agosto 8, 2025, 23:00",Validado,34,
BOSCO SUNSET VIERNES 8/08,6177,"martes, agosto 12, 2025, 15:00",Validado,1,
BOSCO SUNSET VIERNES 8/08,6177,"martes, agosto 26, 2025, 15:00",Validado,1,
BOSCO SUNSET VIERNES 8/08,6177,"jueves, septiembre 4, 2025, 17:00",Validado,1,
BOSCO SUNSET VIERNES 8/08,6177,"domingo, septiembre 7, 2025, 15:00",Validado,2,
CAFÉ & VINO RAVE - 360 Sessions & Cafe Paulin press. ESSENCE,6357,"sábado, enero 1, 2000, 01:00",No Ingresado,284,
CAFÉ & VINO RAVE - 360 Sessions & Cafe Paulin press. ESSENCE,6357,"sábado, agosto 9, 2025, 16:00",Validado,37,
CAFÉ & VINO RAVE - 360 Sessions & Cafe Paulin press. ESSENCE,6357,"sábado, agosto 9, 2025, 17:00",Validado,17,
CAFÉ & VINO RAVE - 360 Sessions & Cafe Paulin press. ESSENCE,6357,"sábado, agosto 9, 2025, 18:00",Validado,3,
CAFÉ & VINO RAVE - 360 Sessions & Cafe Paulin press. ESSENCE,6357,"sábado, agosto 9, 2025, 19:00",Validado,3,
CAFÉ & VINO RAVE - 360 Sessions & Cafe Paulin press. ESSENCE,6357,"domingo, agosto 10, 2025, 01:00",Validado,3,
CLIENTES AURA 09/07,6336,"sábado, enero 1, 2000, 01:00",No Ingresado,133,
CLIENTES AURA 09/07,6336,"sábado, agosto 9, 2025, 20:00",Validado,5,
CLIENTES AURA 09/07,6336,"sábado, agosto 9, 2025, 21:00",Validado,174,
CLIENTES AURA 09/07,6336,"sábado, agosto 9, 2025, 22:00",Validado,45,
CLIENTES AURA 09/07,6336,"sábado, agosto 9, 2025, 23:00",Validado,4,
CLIENTES AURA 09/07,6336,"martes, agosto 12, 2025, 18:00",Validado,1,
CLIENTES AURA 09/07,6336,"miércoles, agosto 13, 2025, 09:00",Validado,1,
CLIENTES AURA 09/07,6336,"jueves, agosto 14, 2025, 15:00",Validado,1,
CLIENTES AURA 09/07,6336,"martes, agosto 26, 2025, 15:00",Validado,1,
CLIENTES AURA 09/07,6336,"miércoles, agosto 27, 2025, 21:00",Validado,1,
CLIENTES AURA 09/07,6336,"viernes, agosto 29, 2025, 15:00",Validado,1,
CLIENTES AURA 09/07,6336,"martes, septiembre 2, 2025, 21:00",Validado,1,
CLIENTES THE WEST GROOVE 07/08,6457,"sábado, enero 1, 2000, 01:00",No Ingresado,24,
CLIENTES THE WEST GROOVE 07/08,6457,"jueves, agosto 7, 2025, 19:00",Validado,2,
CLIENTES THE WEST GROOVE 07/08,6457,"jueves, agosto 7, 2025, 20:00",Validado,14,
CLIENTES THE WEST GROOVE 07/08,6457,"jueves, agosto 7, 2025, 21:00",Validado,20,
CLIENTES THE WEST GROOVE 07/08,6457,"jueves, agosto 7, 2025, 22:00",Validado,3,
CLUB QUBA | JUEVES 07.08,6446,"sábado, enero 1, 2000, 01:00",No Ingresado,539,
CLUB QUBA | JUEVES 07.08,6446,"jueves, agosto 7, 2025, 22:00",Validado,3,
CLUB QUBA | JUEVES 07.08,6446,"jueves, agosto 7, 2025, 23:00",Validado,185,
CLUB QUBA | JUEVES 07.08,6446,"viernes, agosto 8, 2025, 00:00",Validado,120,
CLUB QUBA | JUEVES 07.08,6446,"viernes, agosto 8, 2025, 01:00",Validado,49,
CLUB QUBA | JUEVES 07.08,6446,"viernes, agosto 8, 2025, 02:00",Validado,7,
CLUB QUBA | JUEVES 07.08,6446,"miércoles, agosto 13, 2025, 12:00",Validado,2,
CLUB QUBA | JUEVES 07.08,6446,"jueves, septiembre 4, 2025, 17:00",Validado,6,
CLUB QUBA | SÁBADO 09.08,6402,"sábado, enero 1, 2000, 01:00",No Ingresado,618,
CLUB QUBA | SÁBADO 09.08,6402,"sábado, agosto 9, 2025, 23:00",Validado,1,
CLUB QUBA | SÁBADO 09.08,6402,"domingo, agosto 10, 2025, 00:00",Validado,43,
CLUB QUBA | SÁBADO 09.08,6402,"domingo, agosto 10, 2025, 01:00",Validado,155,
CLUB QUBA | SÁBADO 09.08,6402,"domingo, agosto 10, 2025, 02:00",Validado,25,
CLUB QUBA | SÁBADO 09.08,6402,"domingo, agosto 10, 2025, 03:00",Validado,13,
CLUB QUBA | SÁBADO 09.08,6402,"miércoles, agosto 13, 2025, 12:00",Validado,3,
CLUB QUBA | SÁBADO 09.08,6402,"sábado, agosto 16, 2025, 18:00",Validado,1,
CLUB QUBA | SÁBADO 09.08,6402,"viernes, agosto 29, 2025, 16:00",Validado,1,
CLUB QUBA | SÁBADO 09.08,6402,"sábado, septiembre 13, 2025, 14:00",Validado,2,
Cyberfunk FREE RAVE // Indoor Edition ,6315,"sábado, enero 1, 2000, 01:00",No Ingresado,"2,433",
Cyberfunk FREE RAVE // Indoor Edition ,6315,"sábado, agosto 9, 2025, 00:00",Validado,214,
Cyberfunk FREE RAVE // Indoor Edition ,6315,"sábado, agosto 9, 2025, 01:00",Validado,273,
Cyberfunk FREE RAVE // Indoor Edition ,6315,"sábado, agosto 9, 2025, 02:00",Validado,47,
Cyberfunk FREE RAVE // Indoor Edition ,6315,"sábado, agosto 9, 2025, 03:00",Validado,56,
Cyberfunk FREE RAVE // Indoor Edition ,6315,"lunes, agosto 11, 2025, 21:00",Validado,3,
Cyberfunk FREE RAVE // Indoor Edition ,6315,"martes, agosto 12, 2025, 17:00",Validado,2,
Cyberfunk FREE RAVE // Indoor Edition ,6315,"miércoles, agosto 13, 2025, 12:00",Validado,1,
Cyberfunk FREE RAVE // Indoor Edition ,6315,"martes, agosto 19, 2025, 21:00",Validado,1,
Cyberfunk FREE RAVE // Indoor Edition ,6315,"miércoles, agosto 20, 2025, 12:00",Validado,2,
Cyberfunk FREE RAVE // Indoor Edition ,6315,"sábado, agosto 23, 2025, 19:00",Validado,2,
Cyberfunk FREE RAVE // Indoor Edition ,6315,"sábado, agosto 30, 2025, 14:00",Validado,2,
Cyberfunk FREE RAVE // Indoor Edition ,6315,"martes, septiembre 2, 2025, 11:00",Validado,2,
Cyberfunk FREE RAVE // Indoor Edition ,6315,"jueves, septiembre 4, 2025, 10:00",Validado,2,
DESEO & INDIE FOLKS PRES. ELA MINUS (LIVE),6003,"sábado, enero 1, 2000, 01:00",No Ingresado,45,
DESEO & INDIE FOLKS PRES. ELA MINUS (LIVE),6003,"miércoles, agosto 6, 2025, 20:00",Validado,299,
DESEO & INDIE FOLKS PRES. ELA MINUS (LIVE),6003,"miércoles, agosto 6, 2025, 21:00",Validado,279,
DESEO & INDIE FOLKS PRES. ELA MINUS (LIVE),6003,"miércoles, agosto 6, 2025, 22:00",Validado,6,
DESEO & INDIE FOLKS PRES. ELA MINUS (LIVE),6003,"jueves, agosto 7, 2025, 13:00",Validado,1,
DESEO & INDIE FOLKS PRES. ELA MINUS (LIVE),6003,"viernes, agosto 8, 2025, 10:00",Validado,1,
DESEO & INDIE FOLKS PRES. ELA MINUS (LIVE),6003,"domingo, agosto 10, 2025, 22:00",Validado,1,
DESEO & INDIE FOLKS PRES. ELA MINUS (LIVE),6003,"lunes, agosto 18, 2025, 13:00",Validado,1,
DISIDANCE @ Shamrock Basement - Tom Tom Clubber / Rumanians / Delsin / Ana Helder,6331,"sábado, enero 1, 2000, 01:00",No Ingresado,66,
DISIDANCE @ Shamrock Basement - Tom Tom Clubber / Rumanians / Delsin / Ana Helder,6331,"domingo, agosto 10, 2025, 00:00",Validado,7,
DISIDANCE @ Shamrock Basement - Tom Tom Clubber / Rumanians / Delsin / Ana Helder,6331,"domingo, agosto 10, 2025, 01:00",Validado,58,
DISIDANCE @ Shamrock Basement - Tom Tom Clubber / Rumanians / Delsin / Ana Helder,6331,"domingo, agosto 10, 2025, 02:00",Validado,8,
DISIDANCE @ Shamrock Basement - Tom Tom Clubber / Rumanians / Delsin / Ana Helder,6331,"domingo, agosto 10, 2025, 03:00",Validado,6,
DISIDANCE @ Shamrock Basement - Tom Tom Clubber / Rumanians / Delsin / Ana Helder,6331,"sábado, agosto 23, 2025, 19:00",Validado,1,
DISIDANCE @ Shamrock Basement - Tom Tom Clubber / Rumanians / Delsin / Ana Helder,6331,"miércoles, agosto 27, 2025, 12:00",Validado,2,
"DUNE PARK LEGACY Vol. II: JULIAN ANTHONY (NL), SOUND PROCESS & FRANCISCO TETTAMANTI",6078,"sábado, enero 1, 2000, 01:00",No Ingresado,45,
"DUNE PARK LEGACY Vol. II: JULIAN ANTHONY (NL), SOUND PROCESS & FRANCISCO TETTAMANTI",6078,"sábado, agosto 9, 2025, 23:00",Validado,12,
"DUNE PARK LEGACY Vol. II: JULIAN ANTHONY (NL), SOUND PROCESS & FRANCISCO TETTAMANTI",6078,"domingo, agosto 10, 2025, 00:00",Validado,34,
"DUNE PARK LEGACY Vol. II: JULIAN ANTHONY (NL), SOUND PROCESS & FRANCISCO TETTAMANTI",6078,"domingo, agosto 10, 2025, 01:00",Validado,110,
"DUNE PARK LEGACY Vol. II: JULIAN ANTHONY (NL), SOUND PROCESS & FRANCISCO TETTAMANTI",6078,"domingo, agosto 10, 2025, 02:00",Validado,74,
"DUNE PARK LEGACY Vol. II: JULIAN ANTHONY (NL), SOUND PROCESS & FRANCISCO TETTAMANTI",6078,"domingo, agosto 10, 2025, 03:00",Validado,17,
"DUNE PARK LEGACY Vol. II: JULIAN ANTHONY (NL), SOUND PROCESS & FRANCISCO TETTAMANTI",6078,"lunes, agosto 11, 2025, 12:00",Validado,1,
"DUNE PARK LEGACY Vol. II: JULIAN ANTHONY (NL), SOUND PROCESS & FRANCISCO TETTAMANTI",6078,"miércoles, septiembre 17, 2025, 00:00",Validado,1,
DUNE PARK PRES. SAPO ARGENTINO,6205,"sábado, enero 1, 2000, 01:00",No Ingresado,3,
DUNE PARK PRES. SAPO ARGENTINO,6205,"jueves, agosto 7, 2025, 20:00",Validado,2,
DUNE PARK PRES. SAPO ARGENTINO,6205,"jueves, agosto 7, 2025, 21:00",Validado,9,
DUNE PARK PRES. SAPO ARGENTINO,6205,"martes, agosto 19, 2025, 13:00",Validado,1,
"DUNE PARK pres. SOL PORRO, LULÚ MATHEOU, ROMINA DEZ & JESICA FALASCHI",6275,"sábado, enero 1, 2000, 01:00",No Ingresado,31,
"DUNE PARK pres. SOL PORRO, LULÚ MATHEOU, ROMINA DEZ & JESICA FALASCHI",6275,"viernes, agosto 8, 2025, 23:00",Validado,2,
"DUNE PARK pres. SOL PORRO, LULÚ MATHEOU, ROMINA DEZ & JESICA FALASCHI",6275,"sábado, agosto 9, 2025, 00:00",Validado,13,
"DUNE PARK pres. SOL PORRO, LULÚ MATHEOU, ROMINA DEZ & JESICA FALASCHI",6275,"sábado, agosto 9, 2025, 01:00",Validado,59,
"DUNE PARK pres. SOL PORRO, LULÚ MATHEOU, ROMINA DEZ & JESICA FALASCHI",6275,"sábado, agosto 9, 2025, 02:00",Validado,15,
"DUNE PARK pres. SOL PORRO, LULÚ MATHEOU, ROMINA DEZ & JESICA FALASCHI",6275,"sábado, agosto 9, 2025, 03:00",Validado,3,
"DUNE PARK pres. SOL PORRO, LULÚ MATHEOU, ROMINA DEZ & JESICA FALASCHI",6275,"jueves, agosto 14, 2025, 16:00",Validado,1,
"El Club de la Serpiente, Las Reliquias del Bosque Encantado - 8 de Agosto- Auditorio Sur - Temperley, Buenos Aires ",6200,"sábado, enero 1, 2000, 01:00",No Ingresado,110,
"El Club de la Serpiente, Las Reliquias del Bosque Encantado - 8 de Agosto- Auditorio Sur - Temperley, Buenos Aires ",6200,"sábado, agosto 9, 2025, 00:00",Validado,214,
"El Club de la Serpiente, Las Reliquias del Bosque Encantado - 8 de Agosto- Auditorio Sur - Temperley, Buenos Aires ",6200,"sábado, agosto 9, 2025, 01:00",Validado,669,
"El Club de la Serpiente, Las Reliquias del Bosque Encantado - 8 de Agosto- Auditorio Sur - Temperley, Buenos Aires ",6200,"sábado, agosto 9, 2025, 02:00",Validado,461,
"El Club de la Serpiente, Las Reliquias del Bosque Encantado - 8 de Agosto- Auditorio Sur - Temperley, Buenos Aires ",6200,"sábado, agosto 9, 2025, 03:00",Validado,13,
"El Club de la Serpiente, Las Reliquias del Bosque Encantado - 8 de Agosto- Auditorio Sur - Temperley, Buenos Aires ",6200,"miércoles, agosto 27, 2025, 12:00",Validado,1,
"El Club de la Serpiente, Por Encima De La Mente- 8 de Agosto - Jaguar Haus - Rosario, Santa Fé",6257,"sábado, enero 1, 2000, 01:00",No Ingresado,109,
"El Club de la Serpiente, Por Encima De La Mente- 8 de Agosto - Jaguar Haus - Rosario, Santa Fé",6257,"viernes, agosto 8, 2025, 23:00",Validado,23,
"El Club de la Serpiente, Por Encima De La Mente- 8 de Agosto - Jaguar Haus - Rosario, Santa Fé",6257,"sábado, agosto 9, 2025, 00:00",Validado,220,
"El Club de la Serpiente, Por Encima De La Mente- 8 de Agosto - Jaguar Haus - Rosario, Santa Fé",6257,"sábado, agosto 9, 2025, 01:00",Validado,339,
"El Club de la Serpiente, Por Encima De La Mente- 8 de Agosto - Jaguar Haus - Rosario, Santa Fé",6257,"sábado, agosto 9, 2025, 02:00",Validado,127,
"El Club de la Serpiente, Por Encima De La Mente- 8 de Agosto - Jaguar Haus - Rosario, Santa Fé",6257,"sábado, agosto 9, 2025, 03:00",Validado,15,
"El Club de la Serpiente, Por Encima De La Mente- 8 de Agosto - Jaguar Haus - Rosario, Santa Fé",6257,"sábado, agosto 9, 2025, 04:00",Validado,3,
"El Club de la Serpiente, Por Encima De La Mente- 8 de Agosto - Jaguar Haus - Rosario, Santa Fé",6257,"jueves, agosto 14, 2025, 22:00",Validado,1,
ELEKTRASH (LIVE) ,6432,"sábado, enero 1, 2000, 01:00",No Ingresado,76,
ELEKTRASH (LIVE) ,6432,"sábado, agosto 9, 2025, 19:00",Validado,2,
ELEKTRASH (LIVE) ,6432,"sábado, agosto 9, 2025, 20:00",Validado,14,
ELEKTRASH (LIVE) ,6432,"sábado, agosto 9, 2025, 21:00",Validado,3,
ELEKTRASH (LIVE) ,6432,"sábado, agosto 9, 2025, 22:00",Validado,8,
ELEKTRASH (LIVE) ,6432,"sábado, agosto 9, 2025, 23:00",Validado,1,
ELEKTRASH (LIVE) ,6432,"miércoles, agosto 20, 2025, 12:00",Validado,2,
EN OBRA NEGRA - JAGUAR DORADO Y SILVIO LANG - 8/8,6270,"sábado, enero 1, 2000, 01:00",No Ingresado,18,
EN OBRA NEGRA - JAGUAR DORADO Y SILVIO LANG - 8/8,6270,"viernes, agosto 8, 2025, 19:00",Validado,22,
EN OBRA NEGRA - JAGUAR DORADO Y SILVIO LANG - 8/8,6270,"viernes, agosto 8, 2025, 20:00",Validado,26,
Estación del Sol 100.9 presenta: Acústico Rusher ,6397,"sábado, enero 1, 2000, 01:00",No Ingresado,56,
"HILAB pres: AE:THER, ANHAUSER, NO RUSH @ BALI, Sábado 09.08",6145,"sábado, enero 1, 2000, 01:00",No Ingresado,"7,739",
"HILAB pres: AE:THER, ANHAUSER, NO RUSH @ BALI, Sábado 09.08",6145,"domingo, agosto 10, 2025, 00:00",Validado,189,
"HILAB pres: AE:THER, ANHAUSER, NO RUSH @ BALI, Sábado 09.08",6145,"domingo, agosto 10, 2025, 01:00",Validado,502,
"HILAB pres: AE:THER, ANHAUSER, NO RUSH @ BALI, Sábado 09.08",6145,"domingo, agosto 10, 2025, 02:00",Validado,127,
"HILAB pres: AE:THER, ANHAUSER, NO RUSH @ BALI, Sábado 09.08",6145,"domingo, agosto 10, 2025, 03:00",Validado,11,
"HILAB pres: AE:THER, ANHAUSER, NO RUSH @ BALI, Sábado 09.08",6145,"lunes, agosto 25, 2025, 08:00",Validado,2,
"HILAB pres: AE:THER, ANHAUSER, NO RUSH @ BALI, Sábado 09.08",6145,"jueves, agosto 28, 2025, 19:00",Validado,2,
